w_main,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
0.0,0.03746033043715746,0.043464922588400026,0.8678481609047579,-0.044965311504756134
0.1,0.04324474340425066,0.049488315208903566,0.880231062672795,-0.04327516207835569
0.2,0.0483336006831947,0.0663412488308678,0.7446551325280807,-0.060428691886453056
0.3,0.05271734780622639,0.08800797326541253,0.6276880212619007,-0.0807820933670701
0.4,0.05638777144849372,0.11172206374640219,0.5467295151913346,-0.10196034613024729
0.5,0.05933802490303486,0.13641997582776458,0.4905582814847156,-0.12336535739248555
0.6,0.0615626493819692,0.1616513971160278,0.4501176566017383,-0.14726575833193978
0.7,0.0630575910544966,0.187200728315631,0.41988269980309173,-0.1736544715670295
0.8,0.06382021374978275,0.21295357541460724,0.39653030572450687,-0.19993883788039313
0.9,0.06384930727070937,0.2388441165058291,0.3779986161647254,-0.22814572268532962
1.0,0.06314509128259038,0.26483197088844546,0.36295823480008876,-0.2566239664833897
