feature,importance
atr_14,12.49170571342776
realized_vol_20,8.645509584041845
xs_zscore_realized_vol_20,7.368137821555138
xs_rank_ret_5d,7.08452749857679
ret_5d,6.942019019275904
macd_signal,6.807691060405757
xs_zscore_ret_5d,6.7504768905595744
macd,6.053371457050422
sma_10_ratio,5.557814172053311
xs_zscore_rsi_14,5.0896408231928945
macd_hist,4.896195017898988
realized_vol_10,4.821262433692547
obv_zscore_20,4.732575322002439
xs_rank_realized_vol_20,4.598978166601488
bb_width,4.553807327124689
sma_50_ratio,4.150306789703401
ema_12_26_ratio,3.871810039837978
ret_10d,3.510915274033323
ret_21d,2.6797112517191897
xs_rank_rsi_14,2.2568981702705577
rsi_14,2.2430381424991146
sma_20_ratio,1.9815211377904884
price_zscore_50,1.966020277019457
bb_pct,1.5838445575375641
volume_ratio_20,1.5821036890016071
intraday_range,1.3053929495093013
ret_1d,1.2706361399364792
overnight_gap,1.1712067143525928
close_position,1.1426956243813038
volume_ratio_10,0.9636331788330738
price_zscore_20,0.2640373653599194
log_ret_1d,0.24569198263010808
