,Strategy (with costs),Strategy (no costs),Equal-weight benchmark
total_return,0.27908022013146483,0.6229656279845144,0.6607609630741917
annualized_return,0.06314509128259038,0.12802264342194425,0.13435994760711312
annualized_volatility,0.26483197088844546,0.26485867377985367,0.15120440691125545
sharpe_ratio,0.36295823480008876,0.5866487720823484,0.9094991320031106
sortino_ratio,0.5494680895167017,0.8903502081648581,1.2426636015668608
calmar_ratio,0.246060771906421,0.5519887367935498,0.687731068274896
max_drawdown,-0.2566239664833897,-0.23192981104218835,-0.195366988355116
avg_drawdown,-0.10386018389297079,-0.07839774411113558,-0.04487093630965708
win_rate,0.5004935834155972,0.5074037512339585,0.5374753451676528
profit_factor,1.0655772127978875,1.1079458634184418,1.1762470350575283
skewness,0.4472114920826584,0.443838572013985,-0.021321222918570866
kurtosis,5.651437237874792,5.6280109547235275,6.805807855730508
n_days,1013.0,1013.0,1014.0
